security,100
secure,100
vulnerability,90
vulnerabilities,90
risk,70
risks,70
attack,70
attacks,70
threat,80
threats,80
countermeasures,40
countermeasure,40
critical,40
defend,30
hack,70
hacker,70
exploit,50
breach,60
virus,60
malware,40
malicious,40
ransomware,70
spyware,60
phishing,60
trojan,60
worm,50
encryption,70
decryption,70
CVE,80
password,80
SQL injection,80
firewall,40
privacy,30
botnet,30
denial,40
DDoS,60
rootkit,30
cyber terror,40
authentication,80
authorization,80
protection,50
surveillance,30
identity,50
secrecy,60
secret,60
